scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
0,0,"[('HasProteinLevel', 'Low Protein')]",33644,88519,1.0,1.0,1.0,1.0,0.8,0.8,1.0
1,1,"[('HasProteinLevel', 'Medium Protein')]",15589,88519,1.0,1.0,1.0,1.0,0.4,0.3,1.0
2,2,"[('HasProteinLevel', 'High Protein')]",39286,88519,1.0,1.0,1.0,1.0,0.8,0.6,1.0
3,3,"[('HasCarbLevel', 'Low Carb')]",55182,88519,1.0,1.0,1.0,1.0,0.8,0.9,1.0
4,4,"[('HasCarbLevel', 'Medium Carb')]",25108,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,"[('HasCarbLevel', 'High Carb')]",8229,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.5
6,6,"[('HasFatLevel', 'Low Fat')]",18121,88519,0.0,1.0,1.0,0.0,0.2,0.3,0.2
7,7,"[('HasFatLevel', 'Medium Fat')]",41382,88519,0.0,1.0,1.0,0.0,0.2,0.5,0.25
8,8,"[('HasFatLevel', 'High Fat')]",29016,88519,1.0,1.0,1.0,1.0,0.8,0.8,1.0
9,9,"[('HasCalorieLevel', 'Low Calorie')]",35626,88519,1.0,1.0,1.0,1.0,0.8,0.7,1.0
10,10,"[('HasCalorieLevel', 'Medium Calorie')]",43214,88519,1.0,1.0,1.0,1.0,0.8,0.8,1.0
11,11,"[('HasCalorieLevel', 'High Calorie')]",9679,88519,1.0,1.0,1.0,1.0,0.4,0.5,1.0
12,12,"[('isForMealType', 'breakfast')]",5461,88519,1.0,1.0,1.0,1.0,1.0,0.9,1.0
13,13,"[('isForMealType', 'lunch')]",19023,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,14,"[('isForMealType', 'dinner')]",38891,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,15,"[('isForMealType', 'snack')]",7557,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,16,"[('isForMealType', 'dessert')]",15963,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,17,"[('isForMealType', 'starter')]",12117,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,18,"[('isForMealType', 'brunch')]",8031,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,19,"[('isForMealType', 'drink')]",1849,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20,"[('hasDietType', 'Vegetarian')]",29125,88519,0.0,1.0,1.0,0.0,0.4,0.6,0.3333333333333333
21,21,"[('hasDietType', 'Vegan')]",8706,88519,1.0,1.0,1.0,1.0,1.0,0.9,1.0
22,22,"[('hasDietType', 'Paleo')]",1144,88519,1.0,1.0,1.0,1.0,0.8,0.7,1.0
23,23,"[('hasDietType', 'Standard')]",48370,88519,1.0,1.0,1.0,1.0,0.6,0.8,1.0
24,24,"[('hasCuisineRegion', 'North America')]",44650,88519,1.0,1.0,1.0,1.0,1.0,0.9,1.0
25,25,"[('hasCuisineRegion', 'Global')]",11247,88519,1.0,1.0,1.0,1.0,0.6,0.8,1.0
26,26,"[('hasCuisineRegion', 'Mediterranean Europe')]",9402,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,27,"[('hasCuisineRegion', 'Northern/Western Europe')]",7134,88519,1.0,1.0,1.0,1.0,0.8,0.9,1.0
28,28,"[('hasCuisineRegion', 'Latin America')]",3917,88519,1.0,1.0,1.0,1.0,0.8,0.9,1.0
29,29,"[('hasCuisineRegion', 'East Asia')]",3296,88519,0.0,0.0,1.0,0.0,0.0,0.1,0.16666666666666666
30,30,"[('hasCuisineRegion', 'South Asia')]",2044,88519,0.0,1.0,1.0,0.0,0.4,0.4,0.3333333333333333
31,31,"[('hasCuisineRegion', 'Southeast Asia')]",1596,88519,0.0,1.0,1.0,0.0,0.6,0.3,0.5
32,32,"[('hasCuisineRegion', 'Middle East & Anatolia')]",1574,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,33,"[('hasCuisineRegion', 'Oceania')]",1558,88519,1.0,1.0,1.0,1.0,1.0,0.9,1.0
34,34,"[('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1052,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
35,35,"[('hasCuisineRegion', 'Caribbean')]",487,88519,0.0,0.0,1.0,0.0,0.0,0.1,0.1111111111111111
36,36,"[('hasCuisineRegion', 'Sub-Saharan Africa')]",319,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,37,"[('usesCookingMethod', 'oven')]",41361,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,38,"[('usesCookingMethod', 'pot')]",34863,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,39,"[('usesCookingMethod', 'pan')]",30416,88519,1.0,1.0,1.0,1.0,0.8,0.9,1.0
40,40,"[('usesCookingMethod', 'no cook')]",4575,88519,1.0,1.0,1.0,1.0,0.8,0.4,1.0
41,41,"[('usesCookingMethod', 'barbecue')]",7085,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,42,"[('usesCookingMethod', 'air fryer')]",45,88519,1.0,1.0,1.0,1.0,0.6,0.3,1.0
43,43,"[('usesCookingMethod', 'microwave')]",4210,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
